location,population,avg_income_pc
Mountain Home,404,"$65,381.12 "
Lookout Mountain,2109,"$39,724.60 "
Germantown,37503,"$34,659.86 "
Brentwood,35747,"$34,271.74 "
Collierville,35993,"$26,158.09 "
Cordova,52710,"$25,795.56 "
Franklin,69347,"$25,705.22 "
Arrington,1588,"$24,485.56 "
Eads,5049,"$23,885.61 "
Signal Mountain,14754,"$23,290.38 "
La Grange,110,"$23,122.65 "
Williston,547,"$21,808.49 "
Arlington,17709,"$21,197.41 "
Nolensville,4236,"$21,192.36 "
Mount Juliet,32480,"$21,006.07 "
Norris,1386,"$20,902.24 "
Viola,49,"$20,680.15 "
Spring Hill,7713,"$20,554.15 "
Thompsons Station,6464,"$20,442.28 "
Old Hickory,22160,"$20,244.71 "
Hermitage,29547,"$20,049.14 "
Pegram,4333,"$20,020.66 "
Hendersonville,48773,"$19,891.19 "
Sewanee,3701,"$19,801.76 "
Only,1246,"$19,594.59 "
Antioch,51343,"$19,435.86 "
Milton,1259,"$19,365.64 "
Kingston Springs,5811,"$19,255.43 "
Hixson,37202,"$19,242.47 "
Ooltewah,23824,"$19,201.10 "
Pleasant View,4175,"$19,089.40 "
Spring Creek,59,"$19,054.09 "
Harrison,11719,"$19,035.77 "
Burns,4237,"$18,709.13 "
Oak Ridge,27279,"$18,587.44 "
Lascassas,2782,"$18,488.77 "
Adams,3114,"$18,349.82 "
Goodlettsville,26386,"$18,266.14 "
College Grove,3074,"$18,152.16 "
Primm Springs,1058,"$18,089.21 "
Dellrose,237,"$18,085.11 "
Cottontown,5156,"$18,027.27 "
La Vergne,18708,"$17,950.00 "
Hurricane Mills,714,"$17,947.22 "
New Johnsonville,3018,"$17,899.60 "
Wilder,141,"$17,891.84 "
Loudon,14549,"$17,864.83 "
Lupton City,270,"$17,825.11 "
Oakfield,813,"$17,707.52 "
White House,10334,"$17,667.36 "
Smyrna,35093,"$17,636.40 "
Eagleville,1777,"$17,518.94 "
Murfreesboro,111654,"$17,439.47 "
Whites Creek,2343,"$17,295.74 "
Christiana,4191,"$17,243.16 "
Brighton,8278,"$17,030.39 "
Powell,21609,"$16,988.19 "
Gordonsville,1858,"$16,914.06 "
Joelton,7394,"$16,850.95 "
Friendsville,4881,"$16,810.85 "
Nashville,413511,"$16,781.71 "
Atoka,11724,"$16,764.83 "
Lebanon,43512,"$16,699.62 "
Greenbrier,11208,"$16,656.99 "
Gatlinburg,4981,"$16,605.94 "
Woodlawn,3977,"$16,605.73 "
Cross Plains,2788,"$16,507.04 "
Rockvale,4904,"$16,494.20 "
Castalian Springs,2716,"$16,452.08 "
Santa Fe,1476,"$16,442.31 "
Millington,28039,"$16,421.43 "
Charleston,3565,"$16,411.88 "
Fall Branch,3667,"$16,400.00 "
Fairview,9162,"$16,331.99 "
Lenoir City,21712,"$16,283.94 "
Gallatin,34155,"$16,244.75 "
Apison,2503,"$16,239.00 "
Oakland,3861,"$16,234.06 "
Hampshire,1247,"$16,170.40 "
Readyville,1888,"$16,148.08 "
Chapel Hill,4907,"$16,113.28 "
Hickman,777,"$16,106.72 "
Medina,2517,"$16,090.65 "
Walland,3746,"$16,064.26 "
Westport,389,"$16,037.74 "
Culleoka,4084,"$16,031.43 "
Columbia,50655,"$16,030.86 "
Orlinda,906,"$16,024.81 "
Pinson,2153,"$16,020.30 "
Soddy Daisy,23312,"$15,874.05 "
Knoxville,346766,"$15,869.66 "
Bell Buckle,3559,"$15,800.00 "
Seymour,17026,"$15,710.81 "
Blountville,13334,"$15,660.00 "
Louisville,11148,"$15,616.07 "
Chapmansboro,2981,"$15,603.81 "
Lancaster,374,"$15,562.25 "
Alcoa,6132,"$15,554.02 "
White Bluff,5687,"$15,520.99 "
Munford,4018,"$15,480.70 "
Cedar Hill,3271,"$15,473.76 "
Watertown,5505,"$15,469.20 "
Cornersville,2272,"$15,459.32 "
Lynnville,2710,"$15,447.31 "
Burlison,2878,"$15,379.77 "
Ocoee,1357,"$15,373.90 "
Maryville,68960,"$15,346.61 "
Springfield,25094,"$15,340.00 "
Wartrace,2767,"$15,339.31 "
Kingston,14572,"$15,331.51 "
Elmwood,1278,"$15,274.42 "
Counce,2451,"$15,269.43 "
Greenback,4241,"$15,245.95 "
Ashland City,16600,"$15,206.27 "
Townsend,2415,"$15,162.22 "
Trimble,948,"$15,145.61 "
Normandy,1642,"$15,110.85 "
Talbott,7930,"$15,080.31 "
Riddleton,595,"$15,072.59 "
Gadsden,1541,"$14,991.15 "
Mount Carmel,4760,"$14,958.70 "
Rockford,3481,"$14,944.13 "
Oldfort,2776,"$14,925.48 "
Jackson,80838,"$14,917.21 "
Bethpage,4529,"$14,901.12 "
Williamsport,928,"$14,876.60 "
Memphis,729307,"$14,839.17 "
Laurel Bloomery,539,"$14,812.24 "
Lavinia,1169,"$14,809.34 "
Brush Creek,1517,"$14,806.49 "
Russellville,3191,"$14,805.56 "
Estill Springs,6631,"$14,779.39 "
Vonore,3750,"$14,732.53 "
Jacks Creek,373,"$14,721.07 "
Dickson,24325,"$14,700.00 "
Kingsport,85514,"$14,696.81 "
Palmyra,1595,"$14,691.46 "
Sale Creek,2658,"$14,681.12 "
Winchester,13892,"$14,615.04 "
Whiteside,355,"$14,591.73 "
Lewisburg,18851,"$14,576.59 "
Clarksville,116465,"$14,575.41 "
Cumberland City,1786,"$14,537.35 "
Cumberland Furnace,3038,"$14,504.14 "
Clinton,24422,"$14,502.08 "
Madison,35192,"$14,434.08 "
Jonesborough,22438,"$14,426.80 "
Tullahoma,23824,"$14,420.65 "
Johnson City,83357,"$14,417.98 "
Piney Flats,6499,"$14,405.18 "
Afton,4286,"$14,386.99 "
Georgetown,3416,"$14,386.79 "
Bumpus Mills,497,"$14,317.55 "
Pulaski,17903,"$14,295.85 "
Corryton,10111,"$14,269.35 "
Union City,16998,"$14,250.00 "
Jasper,7590,"$14,241.30 "
Crossville,41845,"$14,184.82 "
Minor Hill,1083,"$14,167.86 "
Belfast,972,"$14,151.64 "
Lenox,93,"$14,147.29 "
Oliver Springs,10825,"$14,144.88 "
Portland,17217,"$14,139.47 "
Beech Bluff,2836,"$14,135.98 "
Dandridge,12695,"$14,135.10 "
Indian Mound,2436,"$14,125.29 "
Ardmore,2697,"$14,119.75 "
Manchester,22301,"$14,081.10 "
Cunningham,2535,"$14,065.93 "
Calhoun,2152,"$14,044.94 "
Mc Ewen,5891,"$13,988.24 "
Waverly,8441,"$13,987.66 "
Fayetteville,20002,"$13,975.93 "
Andersonville,4301,"$13,964.77 "
Moscow,3586,"$13,962.98 "
Frankewing,344,"$13,946.28 "
Lynchburg,3031,"$13,941.94 "
Church Hill,13606,"$13,906.17 "
Cleveland,78932,"$13,900.37 "
Eagan,68,"$13,878.68 "
Springville,3135,"$13,872.60 "
Alexandria,2009,"$13,812.90 "
Troy,3776,"$13,788.08 "
Mc Donald,3931,"$13,779.53 "
South Fulton,4857,"$13,773.44 "
Charlotte,5353,"$13,770.50 "
Bath Springs,950,"$13,741.00 "
Sugar Tree,502,"$13,733.49 "
Surgoinsville,4268,"$13,699.59 "
Reliance,1034,"$13,679.41 "
Strawberry Plains,8487,"$13,659.46 "
Southside,951,"$13,638.02 "
Rock Island,4174,"$13,618.15 "
Medon,2219,"$13,607.72 "
Milan,12005,"$13,596.69 "
Mosheim,4577,"$13,588.26 "
Henderson,11752,"$13,508.27 "
Rives,1014,"$13,503.94 "
Buchanan,2230,"$13,497.45 "
Rossville,2209,"$13,494.44 "
Flag Pond,867,"$13,480.26 "
Shelbyville,26997,"$13,478.49 "
Kenton,3005,"$13,468.60 "
Sevierville,37470,"$13,467.83 "
Darden,860,"$13,461.54 "
Hillsboro,3080,"$13,452.00 "
Heiskell,4595,"$13,447.01 "
Mount Pleasant,7044,"$13,433.33 "
Kelso,1028,"$13,426.32 "
Coalfield,70,"$13,412.02 "
Grandview,1405,"$13,401.28 "
Mulberry,585,"$13,392.97 "
Martin,15715,"$13,375.00 "
Athens,23726,"$13,360.83 "
New Market,6499,"$13,329.77 "
Bluff City,12405,"$13,324.90 "
Bristol,38992,"$13,324.14 "
Riceville,3911,"$13,303.45 "
Lexington,16176,"$13,301.67 "
Crockett Mills,88,"$13,290.09 "
Walling,1216,"$13,290.08 "
Cookeville,55448,"$13,265.42 "
Luray,564,"$13,257.45 "
Bradford,2922,"$13,201.21 "
Milledgeville,257,"$13,181.52 "
Erwin,12502,"$13,176.75 "
Henry,2037,"$13,163.20 "
Cottage Grove,975,"$13,157.89 "
Flintville,2667,"$13,157.79 "
Finger,1753,"$13,156.06 "
Adamsville,5508,"$13,151.68 "
Chuckey,7090,"$13,134.01 "
Mc Kenzie,9773,"$13,101.67 "
Dover,6635,"$13,059.67 "
Petersburg,3507,"$13,057.53 "
Jefferson City,12627,"$13,038.33 "
Vanleer,1582,"$13,035.85 "
Birchwood,2406,"$13,034.31 "
Dyersburg,28213,"$13,030.36 "
Woodbury,7963,"$13,023.27 "
Sharon,2339,"$13,020.17 "
White Pine,5762,"$13,017.41 "
Auburntown,599,"$13,012.02 "
Nunnelly,2029,"$12,999.24 "
Kodak,8188,"$12,996.97 "
Newbern,6494,"$12,974.22 "
Scotts Hill,1636,"$12,966.39 "
Covington,15728,"$12,942.37 "
Mc Lemoresville,227,"$12,937.96 "
Taft,2340,"$12,935.45 "
Stantonville,1016,"$12,935.10 "
Decaturville,3141,"$12,916.60 "
Mason,4774,"$12,882.21 "
Tennessee Ridge,1927,"$12,865.75 "
Humboldt,16376,"$12,863.41 "
Huntland,2287,"$12,860.77 "
Trenton,9866,"$12,842.02 "
Somerville,9895,"$12,838.29 "
Evensville,2339,"$12,832.82 "
Middleton,3628,"$12,824.10 "
Dresden,6534,"$12,806.25 "
Sardis,1441,"$12,798.30 "
Benton,4714,"$12,773.49 "
Prospect,2987,"$12,772.31 "
Beechgrove,1647,"$12,770.17 "
Unionville,2629,"$12,755.17 "
Rutherford,1967,"$12,732.22 "
Morrison,5163,"$12,731.92 "
Obion,2375,"$12,729.84 "
Bon Aqua,5150,"$12,726.20 "
Greeneville,40940,"$12,725.97 "
Spring City,7850,"$12,722.13 "
Loretto,3921,"$12,717.58 "
Dyer,4424,"$12,704.55 "
Paris,18894,"$12,689.61 "
Mascot,2818,"$12,664.37 "
Ten Mile,3218,"$12,662.75 "
Dunlap,8928,"$12,638.25 "
Morristown,47311,"$12,635.98 "
Rockwood,11791,"$12,632.07 "
Niota,3607,"$12,624.90 "
Pleasant Shade,1813,"$12,617.67 "
Lawrenceburg,22024,"$12,615.23 "
Allons,1416,"$12,596.25 "
Eva,574,"$12,595.74 "
Jacksboro,8970,"$12,588.31 "
Carthage,7154,"$12,588.07 "
Etowah,7959,"$12,554.89 "
Whitesburg,3277,"$12,553.15 "
Doyle,1199,"$12,532.47 "
Bradyville,2117,"$12,506.88 "
Blaine,3185,"$12,484.98 "
Delano,1561,"$12,479.20 "
Silver Point,1403,"$12,470.54 "
Puryear,2797,"$12,452.44 "
Huntingdon,9176,"$12,437.80 "
Rogersville,20063,"$12,423.53 "
Limestone,5880,"$12,422.22 "
Ramer,2623,"$12,417.14 "
Huron,1885,"$12,395.33 "
Big Rock,1670,"$12,383.82 "
Tallassee,529,"$12,354.88 "
Camden,10842,"$12,353.16 "
Belvidere,2333,"$12,331.62 "
Drummonds,2585,"$12,318.77 "
Cedar Grove,2216,"$12,312.50 "
Ridgetop,38,"$12,307.53 "
Buena Vista,513,"$12,282.33 "
Madisonville,14034,"$12,280.16 "
Allardt,822,"$12,259.02 "
Englewood,5215,"$12,258.00 "
Five Points,895,"$12,254.90 "
Selmer,8924,"$12,245.38 "
Pigeon Forge,5577,"$12,240.73 "
Mc Minnville,31094,"$12,222.54 "
Watauga,1435,"$12,221.91 "
Westmoreland,8898,"$12,205.90 "
Baxter,5908,"$12,195.12 "
Saint Joseph,978,"$12,194.24 "
Decherd,4996,"$12,188.93 "
Lobelville,2064,"$12,184.05 "
Denmark,1262,"$12,180.43 "
Decatur,7885,"$12,155.86 "
Bruceton,2692,"$12,144.64 "
Toone,1567,"$12,137.55 "
Unicoi,4414,"$12,134.85 "
Trade,885,"$12,132.64 "
Chattanooga,189649,"$12,122.96 "
Lyles,4718,"$12,122.96 "
Graysville,2519,"$12,106.67 "
Michie,2623,"$12,088.66 "
Philadelphia,4407,"$12,082.08 "
Reagan,1859,"$12,076.89 "
Dayton,16141,"$12,075.70 "
Goodspring,1312,"$12,065.37 "
Ripley,16574,"$12,061.18 "
Parsons,5857,"$12,059.40 "
Harriman,18283,"$12,053.72 "
Dixon Springs,839,"$12,039.10 "
Liberty,1968,"$12,013.65 "
Halls,5347,"$12,010.00 "
Centerville,7380,"$11,979.10 "
Alamo,4456,"$11,957.89 "
Lafayette,12448,"$11,948.80 "
Sweetwater,13141,"$11,948.80 "
Harrogate,5297,"$11,943.82 "
Buffalo Valley,634,"$11,939.92 "
Hartsville,6297,"$11,931.64 "
Gleason,3062,"$11,921.29 "
Hohenwald,9788,"$11,912.70 "
Bean Station,6427,"$11,909.64 "
Sparta,21328,"$11,896.75 "
Bolivar,10579,"$11,895.28 "
South Pittsburg,6210,"$11,889.88 "
Telford,3020,"$11,877.39 "
Erin,4744,"$11,862.70 "
Hornsby,944,"$11,844.76 "
Wildersville,1766,"$11,783.98 "
Cowan,1851,"$11,736.55 "
Mansfield,697,"$11,712.18 "
Rickman,1045,"$11,689.60 "
Chestnut Mound,569,"$11,651.10 "
Smithville,12294,"$11,645.34 "
Elora,1333,"$11,626.12 "
Alpine,497,"$11,604.74 "
Leoma,4525,"$11,600.75 "
Quebeck,1054,"$11,579.84 "
Cumberland Gap,3112,"$11,579.84 "
Elizabethton,33530,"$11,564.26 "
Big Sandy,3258,"$11,560.26 "
Moss,1163,"$11,506.20 "
Caryville,4262,"$11,488.31 "
Oakdale,1560,"$11,479.12 "
Whitwell,9690,"$11,478.26 "
Dowelltown,1673,"$11,467.45 "
Bethel Springs,3741,"$11,454.18 "
Pikeville,9880,"$11,441.83 "
Yuma,969,"$11,431.28 "
Hollow Rock,1635,"$11,408.73 "
Palmersville,888,"$11,386.64 "
Summertown,4595,"$11,373.45 "
Mohawk,1806,"$11,359.36 "
Waynesboro,6452,"$11,356.07 "
Greenfield,4009,"$11,306.10 "
Savannah,17184,"$11,285.89 "
Gainesboro,6275,"$11,282.98 "
Rutledge,7123,"$11,270.95 "
Bells,5020,"$11,268.87 "
Dukedom,414,"$11,267.93 "
Livingston,9690,"$11,244.12 "
Hornbeak,2254,"$11,181.56 "
Ducktown,625,"$11,180.79 "
Pocahontas,1035,"$11,146.28 "
Guys,684,"$11,127.16 "
Crump,508,"$11,099.13 "
Atwood,2091,"$11,077.33 "
Linden,5474,"$11,063.52 "
Hampton,4266,"$11,026.07 "
Westpoint,889,"$11,020.08 "
Wartburg,6690,"$11,014.40 "
Friendship,3375,"$10,972.65 "
Tellico Plains,7874,"$10,969.41 "
Maury City,388,"$10,953.04 "
Enville,1044,"$10,937.60 "
Brownsville,15134,"$10,924.23 "
Copperhill,2471,"$10,897.46 "
Byrdstown,3581,"$10,873.36 "
Sequatchie,1783,"$10,872.14 "
Trezevant,1643,"$10,865.83 "
Holladay,2213,"$10,860.00 "
Red Boiling Springs,4792,"$10,853.82 "
Newport,21705,"$10,840.76 "
Bulls Gap,4417,"$10,828.17 "
Saulsbury,1312,"$10,794.67 "
Whiteville,6734,"$10,789.38 "
Midway,2098,"$10,785.82 "
Spencer,4386,"$10,746.25 "
Cypress Inn,1008,"$10,712.79 "
Parrottsville,3121,"$10,704.74 "
Pelham,913,"$10,678.14 "
Cosby,5201,"$10,655.82 "
Lutts,619,"$10,634.24 "
Monterey,7432,"$10,609.96 "
Clifton,3684,"$10,569.75 "
Clarkrange,2147,"$10,551.89 "
Oneida,8683,"$10,517.89 "
Elgin,229,"$10,510.16 "
Bybee,1464,"$10,502.05 "
Morris Chapel,977,"$10,445.77 "
Lake City,6182,"$10,440.59 "
Whitleyville,1009,"$10,416.67 "
Gates,2052,"$10,407.09 "
Petros,569,"$10,382.40 "
Maynardville,9517,"$10,381.68 "
Shiloh,410,"$10,355.88 "
Stewart,1040,"$10,353.48 "
Iron City,2639,"$10,326.82 "
Bloomington Springs,1315,"$10,314.71 "
New Tazewell,7823,"$10,282.38 "
Grimsley,485,"$10,281.04 "
Saltillo,673,"$10,228.31 "
Crab Orchard,887,"$10,194.25 "
Washburn,2563,"$10,193.80 "
Henning,4964,"$10,082.69 "
Sherwood,502,"$9,978.99 "
Ridgely,2628,"$9,950.83 "
Speedwell,4565,"$9,935.89 "
Pall Mall,1236,"$9,885.25 "
Celina,4094,"$9,882.30 "
Hilham,1832,"$9,876.99 "
Thorn Hill,1986,"$9,869.72 "
Tazewell,9771,"$9,822.63 "
Turtletown,1352,"$9,820.94 "
Winfield,1811,"$9,780.23 "
Grand Junction,2166,"$9,766.43 "
Granville,474,"$9,740.26 "
Mooresburg,2782,"$9,737.35 "
Altamont,1589,"$9,668.31 "
Shady Valley,1123,"$9,642.13 "
Sunbright,1984,"$9,628.96 "
Lancing,2589,"$9,600.00 "
Mountain City,12474,"$9,589.70 "
Mercer,737,"$9,539.02 "
Newcomb,746,"$9,534.29 "
La Follette,18080,"$9,509.17 "
Tracy City,3965,"$9,492.40 "
Tiptonville,5757,"$9,485.78 "
Del Rio,2138,"$9,484.96 "
Monroe,2027,"$9,453.44 "
Crawford,872,"$9,437.40 "
Butler,3669,"$9,433.33 "
Palmer,1530,"$9,378.63 "
Stanton,2523,"$9,289.41 "
Monteagle,2424,"$9,195.38 "
Sharps Chapel,1521,"$9,103.28 "
Jamestown,11980,"$9,058.51 "
Briceville,1441,"$9,042.21 "
Luttrell,3446,"$9,026.49 "
Jellico,3476,"$9,014.35 "
Hickory Valley,868,"$8,975.09 "
Helenwood,3450,"$8,962.93 "
Olivehill,622,"$8,904.23 "
Coalmont,1435,"$8,897.29 "
Ethridge,4217,"$8,883.71 "
Deer Lodge,1709,"$8,814.45 "
Collinwood,3017,"$8,771.48 "
Roan Mountain,5325,"$8,748.77 "
Duck River,1126,"$8,721.96 "
Guild,764,"$8,659.26 "
Sneedville,4877,"$8,622.98 "
Finley,220,"$8,603.24 "
Robbins,2655,"$8,584.79 "
Gruetli Laager,2014,"$8,581.82 "
Conasauga,151,"$8,568.55 "
Farner,704,"$8,468.70 "
Beersheba Springs,776,"$8,462.35 "
Hartford,814,"$8,343.03 "
Duff,1534,"$8,048.08 "
Huntsville,2744,"$7,804.74 "
Eidson,891,"$7,712.45 "
Powder Springs,301,"$7,546.44 "
Pioneer,3001,"$6,909.78 "
Allred,42,"$6,880.36 "
Kyles Ford,552,"$5,681.71 "
Clairfield,1108,"$5,276.14 "
Gallaway,408,"$3,469.53 "
